location,Poverty
Belarus,5.0
Moldova,12.6
Lithuania,22.9
Russia,12.1
Romania,23.4
Ukraine,24.5
Andorra,0.8
Hungary,11.3
Czech Republic,8.6
Slovakia,11.4
Portugal,16.2
Serbia,21.3
Grenada,13.0
Poland,15.2
Latvia,22.3
Finland,11.7
South Korea,14.5
France,14.3
Australia,12.4
Croatia,20.3
Ireland,16.5
Luxembourg,1.2
Germany,16.1
Slovenia,9.5
United Kingdom,16.8
Denmark,12.1
Bulgaria,21.8
Spain,20.7
Belgium,11.5
South Africa,55.5
New Zealand,10.8
Gabon,32.5
Namibia,28.7
Switzerland,6.6
Saint Lucia,25.0
Austria,13.0
Estonia,21.7
Greece,20.9
Kazakhstan,11.8
Canada,7.6
Nigeria,40.1
Netherlands,12.9
Uganda,20.3
Rwanda,38.2
Chile,10.8
Argentina,25.7
Burundi,65.0
United States,11.4
Cyprus,15.7
Sweden,8.3
Venezuela,96.8
Paraguay,24.5
Brazil,24.7
Sierra Leone,56.8
Montenegro,23.6
Belize,42.0
Cameroon,23.8
Botswana,24.1
Saint Kitts and Nevis,13.2
Guyana,48.4
Peru,25.0
Panama,20.5
Niue,12.3
Palau,19.4
Norway,8.5
Tanzania,27.2
Georgia,19.5
Uruguay,9.2
Angola,30.3
Laos,18.3
Japan,15.7
Mexico,43.1
Ecuador,25.0
Dominica,28.8
Iceland,9.0
Thailand,8.8
Bosnia and Herzegovina,16.9
Sao Tome and Principe,66.7
Malta,19.3
Albania,33.9
Bahamas,9.3
Dominican Republic,23.2
Mongolia,27.4
Cape Verde,35.2
Barbados,8.1
Burkina Faso,36.8
Italy,20.1
Trinidad and Tobago,15.0
China,0.2
Macedonia,21.9
Saint Vincent and the Grenadines,30.2
Equatorial Guinea,44.6
Suriname,41.0
Vietnam,6.7
Lesotho,49.7
Haiti,77.5
Cook Islands,28.4
Colombia,39.3
Ivory Coast,39.5
Bolivia,30.9
Swaziland,58.9
Zimbabwe,38.3
Seychelles,25.3
Cambodia,16.7
Puerto Rico,43.1
Netherlands Antilles,12.2
Philippines,16.6
Costa Rica,23.2
Armenia,26.4
Cuba,25.0
Nicaragua,24.9
Jamaica,19.3
Ghana,18.2
Liberia,50.9
Uzbekistan,11.5
Chad,42.0
United Arab Emirates,0.3
Kyrgyzstan,25.6
India,21.9
Turkmenistan,7.4
Kenya,33.6
Ethiopia,19.5
Honduras,48.3
Guinea-Bissau,69.3
Zambia,54.4
Republic of the Congo,48.9
Guatemala,47.2
Central African Republic,71.4
North Korea,60.5
Sri Lanka,4.1
Mauritius,8.4
Samoa,22.7
Democratic Republic of the Congo,63.0
Nauru,25.8
Gambia,41.5
Federated States of Micronesia,41.5
El Salvador,22.8
Fiji,24.0
Papua New Guinea,37.5
Kiribati,21.9
Tajikistan,26.3
Israel,21.2
Sudan,46.5
Malawi,70.3
Lebanon,29.6
Azerbaijan,5.0
Mozambique,46.1
Togo,46.2
Nepal,16.6
Brunei,4.1
Benin,38.5
Singapore,0.1
Turkey,10.2
Madagascar,74.0
Solomon Islands,25.1
Tonga,22.5
Tunisia,16.7
Tuvalu,26.3
Qatar,0.1
Vanuatu,32.1
Djibouti,14.6
Malaysia,3.8
Syria,84.0
Maldives,8.2
Mali,41.9
Eritrea,63.0
Algeria,5.5
Iran,15.0
Oman,0.3
Brunei,0.1
Morocco,17.0
Jordan,15.7
Bhutan,11.0
Guinea,43.7
Burma,25.2
Afghanistan,54.5
Senegal,36.3
Indonesia,9.5
Timor-Leste,41.8
Iraq,22.5
Somalia,73.0
Egypt,29.7
Niger,41.8
Yemen,78.5
Comoros,17.6
Saudi Arabia,0.6
Bangladesh,18.7
Kuwait,0.4
Libya,17.2
Mauritania,31.0
Pakistan,24.3
