Location,Education
Belarus,8.5
Moldova,7.8
Lithuania,8.7
Russia,8.3
Romania,7.5
Ukraine,7.6
Andorra,9.1
Hungary,8.6
Czech Republic,8.8
Slovakia,8.0
Portugal,8.7
Serbia,7.4
Grenada,7.2
Poland,8.3
Latvia,8.4
Finland,9.6
South Korea,9.3
France,8.9
Australia,9.2
Croatia,8.1
Ireland,9.0
Luxembourg,9.1
Germany,9.2
Slovenia,8.5
United Kingdom,8.8
Denmark,9.5
Bulgaria,7.7
Spain,8.5
Belgium,8.9
South Africa,6.8
New Zealand,9.3
Gabon,6.5
Namibia,6.1
Switzerland,9.4
Saint Lucia,7.0
Austria,9.0
Estonia,8.9
Greece,7.8
Kazakhstan,7.1
Canada,9.3
Nigeria,5.0
Netherlands,9.4
Uganda,4.7
Rwanda,5.3
Chile,8.1
Argentina,7.9
Burundi,4.5
United States,9.1
Cyprus,8.2
Sweden,9.6
Venezuela,6.2
Paraguay,6.0
Brazil,7.3
Sierra Leone,3.9
Montenegro,7.5
Belize,6.8
Cameroon,4.8
Botswana,5.7
Saint Kitts and Nevis,7.1
Guyana,6.4
Peru,7.4
Panama,7.6
Niue,7.9
Palau,8.0
Norway,9.7
Tanzania,4.3
Georgia,7.2
Uruguay,8.2
Angola,4.2
Laos,4.9
Japan,9.5
Mexico,7.2
Ecuador,6.5
Dominica,6.9
Iceland,9.6
Thailand,7.0
Bosnia and Herzegovina,7.7
Sao Tome and Principe,5.1
Malta,8.4
Albania,6.8
Bahamas,8.0
Dominican Republic,6.3
Mongolia,6.6
Cape Verde,7.1
Barbados,7.4
Burkina Faso,4.0
Italy,8.7
Trinidad and Tobago,7.2
China,7.9
Macedonia,6.7
Saint Vincent and the Grenadines,7.0
Equatorial Guinea,3.5
Suriname,6.0
Vietnam,7.8
Lesotho,4.3
Haiti,3.7
Cook Islands,8.1
Colombia,6.9
Ivory Coast,4.6
Bolivia,6.2
Swaziland,4.4
Zimbabwe,4.8
Seychelles,7.9
Cambodia,5.2
Puerto Rico,8.2
Netherlands Antilles,7.1
Philippines,6.4
Costa Rica,8.0
Armenia,6.6
Cuba,7.8
Nicaragua,5.8
Jamaica,7.5
Ghana,5.5
Liberia,4.3
Uzbekistan,6.1
Chad,3.6
United Arab Emirates,8.1
Kyrgyzstan,5.4
India,5.9
Turkmenistan,5.5
Kenya,5.0
Ethiopia,4.7
Honduras,5.1
Guinea-Bissau,3.9
Zambia,4.2
Republic of the Congo,3.8
Guatemala,5.6
Central African Republic,3.2
North Korea,4.0
Sri Lanka,6.7
Mauritius,7.5
Samoa,6.0
Democratic Republic of the Congo,3.7
Nauru,5.3
Gambia,4.5
Federated States of Micronesia,6.8
El Salvador,5.9
Fiji,7.4
Papua New Guinea,4.1
Kiribati,5.0
Tajikistan,4.8
Israel,8.5
Sudan,3.4
Malawi,4.0
Lebanon,7.1
Azerbaijan,5.7
Mozambique,4.6
Togo,4.4
Nepal,5.0
Brunei,7.3
Benin,4.3
Singapore,9.4
Turkey,7.2
Madagascar,4.1
Solomon Islands,4.5
Tonga,6.7
Tunisia,6.3
Tuvalu,6.2
Qatar,8.2
Vanuatu,5.8
Djibouti,3.3
Malaysia,8.1
Syria,5.2
Maldives,7.5
Mali,3.9
Eritrea,3.8
Algeria,5.9
Iran,6.8
Oman,7.0
Brunei,7.3
Morocco,6.0
Jordan,7.0
Bhutan,6.5
Guinea,3.6
Burma,3.7
Afghanistan,3.0
Senegal,4.3
Indonesia,6.3
Timor-Leste,5.2
Iraq,4.5
Somalia,3.2
Egypt,6.8
Niger,3.5
Yemen,2.9
Comoros,4.0
Saudi Arabia,7.2
Bangladesh,4.9
Kuwait,7.5
Libya,4.4
Mauritania,3.4
Pakistan,5.1
