Location,Health
Belarus,3.5
Moldova,4.0
Lithuania,2.7
Russia,4.5
Romania,4.1
Ukraine,4.2
Andorra,1.0
Hungary,2.8
Czech Republic,2.1
Slovakia,2.6
Portugal,1.8
Serbia,4.0
Grenada,4.8
Poland,2.5
Latvia,3.0
Finland,0.9
South Korea,1.2
France,0.8
Australia,0.7
Croatia,3.1
Ireland,1.5
Luxembourg,1.1
Germany,1.0
Slovenia,2.0
United Kingdom,1.1
Denmark,0.6
Bulgaria,4.4
Spain,1.5
Belgium,1.2
South Africa,5.8
New Zealand,1.0
Gabon,5.7
Namibia,6.0
Switzerland,0.5
Saint Lucia,4.9
Austria,1.0
Estonia,2.3
Greece,2.2
Kazakhstan,5.0
Canada,0.9
Nigeria,6.5
Netherlands,0.5
Uganda,6.8
Rwanda,6.4
Chile,2.9
Argentina,2.6
Burundi,7.0
United States,2.0
Cyprus,2.3
Sweden,0.4
Venezuela,5.2
Paraguay,4.8
Brazil,3.5
Sierra Leone,8.0
Montenegro,3.8
Belize,4.7
Cameroon,6.3
Botswana,5.9
Saint Kitts and Nevis,4.2
Guyana,5.3
Peru,3.9
Panama,3.2
Niue,4.5
Palau,3.7
Norway,0.4
Tanzania,7.1
Georgia,4.3
Uruguay,2.7
Angola,7.3
Laos,6.9
Japan,0.9
Mexico,3.6
Ecuador,4.6
Dominica,4.2
Iceland,0.3
Thailand,3.3
Bosnia and Herzegovina,4.1
Sao Tome and Principe,5.5
Malta,1.6
Albania,4.4
Bahamas,3.8
Dominican Republic,5.0
Mongolia,4.9
Cape Verde,5.1
Barbados,2.4
Burkina Faso,7.5
Italy,1.4
Trinidad and Tobago,4.0
China,2.9
Macedonia,4.5
Saint Vincent and the Grenadines,5.3
Equatorial Guinea,7.0
Suriname,5.0
Vietnam,3.0
Lesotho,7.2
Haiti,7.8
Cook Islands,3.8
Colombia,4.3
Ivory Coast,6.2
Bolivia,5.4
Swaziland,6.6
Zimbabwe,7.4
Seychelles,4.0
Cambodia,6.7
Puerto Rico,2.3
Netherlands Antilles,4.4
Philippines,4.8
Costa Rica,2.5
Armenia,5.1
Cuba,3.1
Nicaragua,5.6
Jamaica,3.6
Ghana,6.3
Liberia,7.7
Uzbekistan,5.2
Chad,8.0
United Arab Emirates,1.3
Kyrgyzstan,5.5
India,4.9
Turkmenistan,5.8
Kenya,6.0
Ethiopia,6.8
Honduras,6.5
Guinea-Bissau,7.9
Zambia,6.6
Republic of the Congo,7.2
Guatemala,5.7
Central African Republic,8.4
North Korea,8.3
Sri Lanka,3.7
Mauritius,3.0
Samoa,4.8
Democratic Republic of the Congo,8.0
Nauru,5.9
Gambia,8.2
Federated States of Micronesia,5.4
El Salvador,6.2
Fiji,6.4
Papua New Guinea,6.7
Kiribati,6.3
Tajikistan,6.5
Israel,1.5
Sudan,8.5
Malawi,7.6
Lebanon,3.9
Azerbaijan,5.3
Mozambique,7.4
Togo,7.2
Nepal,6.1
Brunei,2.5
Benin,6.5
Singapore,0.7
Turkey,2.2
Madagascar,7.0
Solomon Islands,7.3
Tonga,6.4
Tunisia,4.0
Tuvalu,5.0
Qatar,1.4
Vanuatu,6.9
Djibouti,7.8
Malaysia,3.2
Syria,8.2
Maldives,3.8
Mali,8.1
Eritrea,8.3
Algeria,4.7
Iran,3.4
Oman,3.2
Brunei,2.5
Morocco,5.2
Jordan,3.6
Bhutan,5.4
Guinea,7.6
Burma,8.5
Afghanistan,8.9
Senegal,7.0
Indonesia,4.0
Timor-Leste,7.1
Iraq,8.0
Somalia,9.0
Egypt,3.5
Niger,8.8
Yemen,8.7
Comoros,7.9
Saudi Arabia,4.5
Bangladesh,4.4
Kuwait,2.0
Libya,8.4
Mauritania,8.3
Pakistan,5.0
