Location, Health Index (HI)
Belarus, 8.2
Moldova, 7.4
Lithuania, 8.6
Russia, 8.0
Romania, 7.3
Ukraine, 7.2
Andorra, 9.0
Hungary, 8.2
Czech Republic, 8.9
Slovakia, 8.1
Portugal, 8.8
Serbia, 7.0
Grenada, 6.8
Poland, 8.3
Latvia, 8.5
Finland, 9.5
South Korea, 9.1
France, 8.7
Australia, 9.2
Croatia, 8.0
Ireland, 8.8
Luxembourg, 9.2
Germany, 9.3
Slovenia, 8.4
United Kingdom, 8.8
Denmark, 9.4
Bulgaria, 7.6
Spain, 8.6
Belgium, 8.7
South Africa, 6.2
New Zealand, 9.0
Gabon, 5.9
Namibia, 5.7
Switzerland, 9.5
Saint Lucia, 6.9
Austria, 9.3
Estonia, 8.6
Greece, 8.0
Kazakhstan, 6.5
Canada, 9.3
Nigeria, 4.8
Netherlands, 9.4
Uganda, 4.4
Rwanda, 5.2
Chile, 8.0
Argentina, 7.5
Burundi, 4.1
United States, 9.0
Cyprus, 8.2
Sweden, 9.6
Venezuela, 6.0
Paraguay, 5.8
Brazil, 7.0
Sierra Leone, 3.5
Montenegro, 7.1
Belize, 6.5
Cameroon, 4.6
Botswana, 5.5
Saint Kitts and Nevis, 6.9
Guyana, 6.0
Peru, 7.0
Panama, 7.2
Niue, 7.7
Palau, 7.9
Norway, 9.7
Tanzania, 4.0
Georgia, 6.8
Uruguay, 8.3
Angola, 4.0
Laos, 4.4
Japan, 9.6
Mexico, 7.4
Ecuador, 6.1
Dominica, 6.5
Iceland, 9.5
Thailand, 7.2
Bosnia and Herzegovina, 7.6
Sao Tome and Principe, 4.7
Malta, 8.6
Albania, 6.9
Bahamas, 7.7
Dominican Republic, 5.9
Mongolia, 6.0
Cape Verde, 6.7
Barbados, 7.2
Burkina Faso, 3.8
Italy, 8.8
Trinidad and Tobago, 7.0
China, 7.8
Macedonia, 6.5
Saint Vincent and the Grenadines, 6.6
Equatorial Guinea, 3.4
Suriname, 5.7
Vietnam, 7.4
Lesotho, 4.2
Haiti, 3.3
Cook Islands, 7.9
Colombia, 6.3
Ivory Coast, 4.2
Bolivia, 5.4
Swaziland, 4.3
Zimbabwe, 4.6
Seychelles, 7.1
Cambodia, 5.1
Puerto Rico, 8.0
Netherlands Antilles, 6.6
Philippines, 6.2
Costa Rica, 7.8
Armenia, 5.8
Cuba, 7.6
Nicaragua, 5.5
Jamaica, 7.1
Ghana, 5.4
Liberia, 4.1
Uzbekistan, 5.2
Chad, 3.5
United Arab Emirates, 8.4
Kyrgyzstan, 5.3
India, 5.7
Turkmenistan, 5.1
Kenya, 4.5
Ethiopia, 4.0
Honduras, 4.7
Guinea-Bissau, 3.8
Zambia, 4.0
Republic of the Congo, 3.7
Guatemala, 5.5
Central African Republic, 3.1
North Korea, 3.9
Sri Lanka, 6.5
Mauritius, 7.3
Samoa, 5.9
Democratic Republic of the Congo, 3.6
Nauru, 5.0
Gambia, 4.3
Federated States of Micronesia, 6.3
El Salvador, 5.5
Fiji, 7.2
Papua New Guinea, 4.3
Kiribati, 4.7
Tajikistan, 4.6
Israel, 8.6
Sudan, 3.3
Malawi, 3.9
Lebanon, 7.0
Azerbaijan, 5.5
Mozambique, 4.3
Togo, 4.1
Nepal, 4.6
Brunei, 7.2
Benin, 4.2
Singapore, 9.5
Turkey, 7.3
Madagascar, 3.9
Solomon Islands, 4.1
Tonga, 6.2
Tunisia, 5.9
Tuvalu, 5.8
Qatar, 8.3
Vanuatu, 5.6
Djibouti, 3.2
Malaysia, 8.2
Syria, 5.0
Maldives, 7.2
Mali, 3.8
Eritrea, 3.4
Algeria, 5.6
Iran, 6.5
Oman, 6.9
Brunei, 7.2
Morocco, 5.8
Jordan, 6.8
Bhutan, 6.1
Guinea, 3.7
Burma, 3.4
Afghanistan, 2.9
Senegal, 4.0
Indonesia, 5.8
Timor-Leste, 4.5
Iraq, 4.3
Somalia, 3.0
Egypt, 6.2
Niger, 3.2
Yemen, 2.8
Comoros, 3.6
Saudi Arabia, 7.0
Bangladesh, 4.4
Kuwait, 7.1
Libya, 4.1
Mauritania, 3.3
Pakistan, 4.7
