Location,Gender
Belarus,8.1
Moldova,7.5
Lithuania,8.3
Russia,7.8
Romania,7.4
Ukraine,7.7
Andorra,9.0
Hungary,7.9
Czech Republic,8.4
Slovakia,7.9
Portugal,8.6
Serbia,7.2
Grenada,6.9
Poland,8.0
Latvia,8.4
Finland,9.5
South Korea,7.6
France,8.7
Australia,9.0
Croatia,8.2
Ireland,9.1
Luxembourg,8.8
Germany,8.9
Slovenia,8.3
United Kingdom,8.5
Denmark,9.4
Bulgaria,7.8
Spain,8.6
Belgium,8.5
South Africa,6.3
New Zealand,9.3
Gabon,6.2
Namibia,6.4
Switzerland,9.3
Saint Lucia,6.8
Austria,8.9
Estonia,8.7
Greece,7.6
Kazakhstan,7.0
Canada,9.2
Nigeria,4.9
Netherlands,9.4
Uganda,4.6
Rwanda,5.9
Chile,8.0
Argentina,7.5
Burundi,5.0
United States,9.1
Cyprus,8.0
Sweden,9.7
Venezuela,5.8
Paraguay,6.0
Brazil,7.2
Sierra Leone,3.8
Montenegro,7.4
Belize,6.7
Cameroon,4.8
Botswana,5.8
Saint Kitts and Nevis,7.1
Guyana,6.5
Peru,7.3
Panama,7.4
Niue,7.6
Palau,7.8
Norway,9.6
Tanzania,4.5
Georgia,6.9
Uruguay,8.1
Angola,4.1
Laos,5.0
Japan,7.9
Mexico,6.9
Ecuador,6.2
Dominica,6.6
Iceland,9.7
Thailand,7.2
Bosnia and Herzegovina,7.7
Sao Tome and Principe,5.0
Malta,8.2
Albania,6.9
Bahamas,7.8
Dominican Republic,6.3
Mongolia,6.4
Cape Verde,7.0
Barbados,7.5
Burkina Faso,3.9
Italy,8.5
Trinidad and Tobago,7.2
China,7.1
Macedonia,6.6
Saint Vincent and the Grenadines,6.8
Equatorial Guinea,3.7
Suriname,5.9
Vietnam,7.3
Lesotho,4.4
Haiti,3.6
Cook Islands,8.1
Colombia,6.8
Ivory Coast,4.7
Bolivia,6.0
Swaziland,4.5
Zimbabwe,4.9
Seychelles,7.5
Cambodia,5.5
Puerto Rico,8.1
Netherlands Antilles,7.0
Philippines,6.8
Costa Rica,7.9
Armenia,6.5
Cuba,7.8
Nicaragua,5.7
Jamaica,7.2
Ghana,5.6
Liberia,4.3
Uzbekistan,5.7
Chad,3.4
United Arab Emirates,7.8
Kyrgyzstan,5.5
India,5.4
Turkmenistan,5.3
Kenya,5.1
Ethiopia,4.6
Honduras,5.0
Guinea-Bissau,3.8
Zambia,4.4
Republic of the Congo,3.9
Guatemala,5.4
Central African Republic,3.3
North Korea,3.8
Sri Lanka,6.7
Mauritius,7.3
Samoa,6.1
Democratic Republic of the Congo,3.5
Nauru,5.2
Gambia,4.6
Federated States of Micronesia,6.7
El Salvador,5.8
Fiji,7.1
Papua New Guinea,4.5
Kiribati,4.9
Tajikistan,5.0
Israel,8.2
Sudan,3.5
Malawi,4.1
Lebanon,6.9
Azerbaijan,5.6
Mozambique,4.7
Togo,4.2
Nepal,5.1
Brunei,7.4
Benin,4.4
Singapore,9.5
Turkey,7.1
Madagascar,4.3
Solomon Islands,4.2
Tonga,6.4
Tunisia,6.2
Tuvalu,6.3
Qatar,7.9
Vanuatu,5.6
Djibouti,3.1
Malaysia,8.0
Syria,4.9
Maldives,7.2
Mali,3.7
Eritrea,3.7
Algeria,5.8
Iran,6.7
Oman,6.9
Brunei,7.4
Morocco,6.1
Jordan,6.6
Bhutan,6.2
Guinea,3.8
Burma,3.6
Afghanistan,2.8
Senegal,4.4
Indonesia,6.1
Timor-Leste,4.8
Iraq,4.1
Somalia,3.0
Egypt,6.5
Niger,3.6
Yemen,2.7
Comoros,3.9
Saudi Arabia,6.8
Bangladesh,4.7
Kuwait,7.4
Libya,4.2
Mauritania,3.4
Pakistan,4.8
